Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
464,"Projet Restauration, conservation et gestion durable des mangroves du Costa Rica et du Bénin face au changement climatique  (validé au stade de la NIP). Porté par le MAEDI.",,,,,,,,,,,,,
465,"Projet Gestion concertée des ressources marines et côtières du Nord du Canal du Mozambique. Validé au stade de la NOP . Concerne France, Madagascar, Mozambique, Tanzanie, Union des Comores. Objectif général :D’ici 2025, les récifs coralliens et écosystèmes associés à haute valeur de conservation sont préservés et améliorés grâce à une gestion spatiale efficaces des activités en mer, notamment celles du secteur des hydrocarbures offshore, assurant un avenir durable pour les communautés côtières et les économies de la région. Porté par MAEDI et MEEM, sera mis en œuvre par le Secrétariat de la Convention de Nairobi (via le PNUE) en partenariat avec CORDIO et WWF.",,,,,,Indian Ocean,,,,,,,
466,"Projet Accroissement de la résilience des écosystèmes côtiers de l’océan Indien par la restauration et la conservation. Validé au stade de la NOP. Concerne Maurice, Seychelles, Comores, Madagascar. Porté par l’AFD et sera mis en œuvre par la Commission de l’Océan Indien.",,,,,,Indian Ocean,,,,,,,
467,"Projet Building Coastal Ecosystem Resilience in the Pacific Biodiversity Blue Belt. Porté par MEEM et MAEDI, sera mis en oeuvre par le PROE. Validé au stade de la NOP. Concerne Vanuatu et Tonga.",,,,,,Pacific Ocean,,,,,,,
468,"Projet Petites initiatives et des mécanismes financiers pour la conservation de la biodiversité marine et côtière en Afrique de l’ouest (PIMFAO). Concerne Mauritanie, Cap Vert, Sénégal, Gambie, Guinée Bissau, Guinée, Sierra Leone. Validé au stade de la NOP.  Porté par le MEEM et sera mis en œuvre par PRCM et RAMPAO s/c UICN PACO.",,,,,West Africa,Atlantic Ocean,,,,,,,
469,Strategic Planning for Global Small Scale Fisheries Programme,California Environmental Associates,,,,,,,,50000,,,,
470,Renewal - Marine Ecosystem Review and Associated Projects,Fondation Ensemble,,,,,,,,1595745,,,,
471,Testing methods of human induced resilience of socio-economically important coral reef sites,UNDP,Not yet approved for implementation,2015,2017,Seychelles,Indian Ocean,,Grantee: Anba Lao,"Grant amount: US$ 50,000; Co-financing in-kind: US$ 6,110",,Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23158&Itemid=272
472,CTI The Coral Triangle Initiative (PROGRAM),GEF Trust Fund,Not yet approved for implementation,2008 (Concept approved),,,,,"Asian Development Bank, Lead Government agencies in each country, Bilateral Development Assistance Agencies, Inter-Governmental Agencies, NGOs",,,,,https://www.thegef.org/project/cti-coral-triangle-initiative-program
473,The Meloy Fund: A Fund for Sustainable Small-scale Fisheries in SE Asia (Non-grant),GEF Trust Fund,Not yet approved for implementation,2016 (concept approved),,,Indian Ocean,,Conservation International; Rare,"US$ 41,399,864","GEF - US$ 6,000,000, Co-financing US$ 35,199,864",,,https://www.thegef.org/project/meloy-fund-fund-sustainable-small-scale-fisheries-se-asia-non-grant
474,"Supporting North East Tobago natural resource management: eco- and human system mapping, livelihood benefits and meaningful participation",GEF Small Grants Programme,Not yet approved for implementation,2016 (concept approved),2018,Trinidad and Tobago,Atlantic Ocean,,Environmental Research Institute Charlotteville,"US$ 40,797","Grant - US$ 40,797",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24572&Itemid=272
475,Aquaponics: The raising of fish and soil less growing of plants in one integrated system,GEF Small Grants Programme,Not active yet,2017,2018,Grenada,Atlantic Ocean,,N/A,"US$ 39,090",,Climate Change Resilience,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24675&Itemid=272
476,Combating land degradation on the Historic New River and Coconut Walk Coastline,GEF Small Grants Programme,Not active yet,2015,2017,Saint Kitts and Nevis,Pacific Ocean,,Nevis Historical and Conservation Society and HOPE Nevis,"US$ 1,150,000","Grant - US$ 150,000; Co-financing - US$ 1,000,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23442&Itemid=272
477,Strengthening community participation in the protection of the Belize Barrier Reef through capacity building and supporting implementation of managed access,GEF small Grants Programme,Not active yet,2016,2017,Belize,Pacific Ocean,,Wabafu Fishermen Association,"US$ 72,483","Grant - US$ 20,000; Co-financing - US$ 52,483",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24414&Itemid=272
478,Critical coastal ecosystem conservation through a community integrated approach ,GEF Small Grants Programme,Not active yet,2017,2019,Mauritius ,Indian Ocean,,,"US$ 50,000","Grant - US$ 50,000",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24556&Itemid=272
479,Community Based Coral Farming and Voluntary marine Conservation Area (VMCA),GEF Small Grants Programme,Not active yet,2017,2018,Mauritius ,Indian Ocean,,,"US$ 50,000","Grant - US$ 50,000",,pamela.bapoo.dundoo@undp.org; SamantaH@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24558&Itemid=272
480,Marshall Islands Coral Reef Education and Conservation Program and Science Summer Camp,GEF Small Grants Programme,Not active yet,2016 (concept approved),,Marshall Islands,Pacific Ocean,,,"US$ 104,947","Grant - US$ 49,947; Co-financing - US$ 55,000",,yoshikoy@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24158&Itemid=272
481,Réhabilitation et conservation de la mangrove de Philibert,GEF Small Grants Programme,Not active yet,2016,2018,Haiti,Atlantic Ocean,,Rasanbleman Peyizan Filibè,"US$ 49,023","Grant - US$ 49,023",,jean-parnell.dimanche@undp.org; renel.bruno@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24603&Itemid=272
482,"Zabana Community-Mangrove Management, Conservation and Ecotourism",GEF Small Grants Programme,Not active yet,2014,,Solomon Islands,Pacific Ocean,,,"US$ 7,224","Grant - US$ 2,000; Co-financing - US$ 5,224",,josiahm@unops.org; Lorraine.bambu@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21973&Itemid=272
483,FSM: Eot Mangrove Replanting & Taro Patch Restoration Project,GEF Small Grants Programme,Not active yet,2014,,Micronesia,Pacific Ocean,,Ipwe Pan Fishing Association,"US$ 7,600","Grant - US$ 5,000; Co-financing - US$ 2,600",,pattersons@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22100&Itemid=272
484,Developing a site-based conservation approach for sei whales Balaenoptera borealis,BEST,,,,Falkland Islands,Atlantic Ocean,,Falklands Conservation,,"EU grant - US$ 241,793","Sei whale ecology, marine spatial planning",,
485,Determining the feeding areas used by the community of seabirds breeding on the island of Grand Colombier,BEST,,,,Saint-Pierre and Miquelon,Atlantic Ocean,,Office National de la Chasse et de la Faune Sauvage (ONCFS),,,"Leach's Storm Petrels, Atlantic Puffins, GPS tracking, marine feeding areas, important marine areas",,http://ec.europa.eu/environment/nature/biodiversity/best/pdf/BEST_Brochure_2017-brochure_complete_WEB.pdf
486,Sustainable fishing in the Arctic: Can the harvest of Greenland’s biggest export be compatible with the conservation of benthic ecosystems?,BEST,,,,Greenland,Atlantic Ocean,,Zoological Society London (ZSL),,,"Bethnic habitats, management plan, awareness raising",,
487,An ecological assessment of Ascension Island’s shallow-water seamounts as candidate Marine Protected Areas,BEST,,,,Ascension Island,Atlantic Ocean,,Ascension Island Government Conservation and Fisheries Department,,,"Seamounts, marine spatial planning, MPA, pelagic ecosystems",,
488,Managing Parrotfish Fisheries in the Caribbean,Pew Charitable Trusts,,2014,,,Atlantic Ocean,Carribean Islands,,,,,,
489,Bermuda's Legacy,"Pew Environment Group, Bermuda Blue Halo",,2012,,Bermuda,Atlantic Ocean,,,,,,,
490,‘Back to the Sea’ – supporting sustainable livelihoods for Turkish fishing community,Fauna & Flora International,,,,Turkey,Atlantic Ocean,,,,,,,
491,Enhancing local capacity for marine conservation in Turkey,Fauna & Flora International,,,,Turkey,Atlantic Ocean,,,,,,,
492,Community management of Liberia’s mangrove ecosystems,Fauna & Flora International,,,,Liberia,Atlantic Ocean,,,,,,,
493,Dog Island restoration project in Anguilla,Fauna & Flora International,,,,Caribbean,Atlantic Ocean,,,,,,,
494,Offshore Islands conservation programme in Antigua and Barbuda,Fauna & Flora International,,,,Antigua,Atlantic Ocean,,,,,,,
495,Final Report: Lessons from the US Coral Triangle Initiative Support Program,"Conservation International, WWF, Nature Conservancy, USAID, Coral Triangle Support Partnership",,2014,,USA,Atlantic Ocean/ Pacific Ocean,,,,,,,http://www.coraltriangleinitiative.org/library/final-report-lessons-us-coral-triangle-support-program
496,COPRA - Conservation and integrated management of phanerogam seagrass meadows in the Glorieuses Marine Park and their functional role for marine turtle population,BEST,,,,Scattered Islands,Indian Ocean,,Agence Francaise pour la Biodiversite (AFB),,,"Seagrass beds, turtles, seagrass monitoring, management plan",,http://ec.europa.eu/environment/nature/biodiversity/best/pdf/BEST_Brochure_2017-brochure_complete_WEB.pdf
497,Combining local ecological knowledge and ciguatera analysis to rule lionfish toxicity and edibility and catalyze infestation control,BEST,,,,Saint-Barthelemy,Indian Ocean,,Agence Territoriale de L'Environment de Saint-Barthelemy (ATE),,,"Invasive species, Lionfish control strategy",,
498,Coastal Capital: Jamaica. The Economic Contribution of Jamaica's Coral Reefs,"World Resources Institute (WRI), University of the West Indies, The Nature Conservancy, Mona GeoInformatics Institute",,2011,,Jamaica,Indian Ocean,,,,,,,
499,Building capacity for marine conservation in Myanmar,Fauna & Flora International,,,,Burma,Indian Ocean,,,,,,,
500,Sustainable coastal development in Cambodia,Fauna & Flora International,,,,Cambodia,Indian Ocean,,,,,,,
501,Sustainable management of Kenya’s coastal and marine resources,Fauna & Flora International,,,,Kenya,Indian Ocean,,,,,,,
502,Coordinated community conservation for marine and coastal resources,Fauna & Flora International,,,,Kenya,Indian Ocean,,,,,,,
503,Coastal and Marine Conservation Project,Fauna & Flora International,,,,Cambodia,Indian Ocean,,,,,,,
504,Indonesia Country Report,Conservation and Community Investment Forum,,2013,,Indonesia,Pacific Ocean,,,,,,,
505,Marine Stewardship,Fauna & Flora International,,,,Global,International Waters,,,,,,,
506,Saving the sea turtles of Anguilla,BEST,,,,Anguilla,Pacific Ocean,,"Government of Anguilla, Department of Fisheries and Marine Resources",,,"Conservation, sea turtles, population status assessment, threat assessment",,
507,PACIOCEA - Pacific Ocean Ecosystem Analysis,BEST,,,,,Pacific Ocean,,,,,Conservation; Management; Climate change adaptation,,
508,Assessing the Impacts of Ocean Acidification at Palmyra Atoll ,Gordon and Betty Moore Foundation,,,,,Pacific Ocean,,,"US$ 1,591,136","UCSD/Scripps Oceanography; Stanford University, School of Earth Sciences",Ocean acidification,,
509,Investigating the co-evolutionary relationships between seagrasses and their microbial symbionts ,Gordon and Betty Moore Foundation,,,,"Bodega Bay, CA, and seagrass beds worldwide",Pacific Ocean,,,"US$ 849,040",UC Davis Genome Center,To uncover the coevolutionary interactions and ecological function of microbial symbionts and their seagrass hosts and generate a new understanding of the evolutionary history of the host-microbiome and the integrated role that microbe and seagrass communities play in mediating key ecosystem processes. ,,
510,The science of reef resilience and its application to coral reef management ,Gordon and Betty Moore Foundation,,,,,Pacific Ocean,,,"US$ 2,476,843",Coral Reef Alliance,To fill a critical gap in coral reef science and its application to management and conservation through: development of a novel coral reef ecosystem model; testing the model using new scientific information generated through field research and monitoring primarily at Palmyra Atoll; and development of empirically based management and conservation decision rules regarding coral reef resilience. ,,
511,Managing Coral Reefs for Adaptation Potential,Gordon and Betty Moore Foundation,,,,,Pacific Ocean,Mesoamerican Reef,,"US$ 500,000",Coral Reef Alliance,In support of launching a novel branch of scientific inquiry to explore how variation in the diversity and connectivity of reef-building corals may affect their ability to adapt to global climate change. ,,
512,13th International Coral Reef Symposium ,Gordon and Betty Moore Foundation,,,,Hawaii,Pacific Ocean,,,"US$ 18,000",Coral Reef Alliance," In support of the 13th International Coral Reef Symposium to be held June 19-24, 2016, in Honolulu, HI. ",,
513,Better Coral Reef Conservation Through Chemistry ,Gordon and Betty Moore Foundation,,,,Belize,Pacific Ocean,,,"US$ 1,049,352","University of Delaware, School of Marine Science and Policy",In support of using fieldwork and analytical chemistry approaches to determine how juvenile coral and reef fish select habitats in the Caribbean Sea. Research findings will inform ocean planning and management strategies. ,,
514,Securing a Future for Coral Reefs: From Novel Science to a New Approach to Conservation in a Warming World ,Gordon and Betty Moore Foundation,,,,,Pacific Ocean,"Mesoamerican Reef, Fiji, Lesser Sunda (modeling project)",,"US$ 993,791",Coral Reef Alliance,To develop novel science at the interface of ecology and evolution and a new approach to coral reef conservation. ,,
515,Making the Case to Protect Australia's Coral Sea,"Pew Environment Group, International Fund for Animal Welfare (IFAW), Australian Conservation Foundation, Australian Marine Conservation Society, Project AWARE Foundation, Humane Society International, Queensland Conservation Council",,2011,,Australia,Pacific Ocean,,,,,,,
516,The Marine Environment of the Pitcairn Islands,Dundee University Press,,2012,,,Pacific Ocean,Pitcairn Islands,,,,,,
517,Pitcairn Marine Research Outline Plan,"Pew Charitable Trusts, National Geographic, Pitcairn Island Council",,2013,,,Pacific Ocean,Pitcairn Islands,,,,,,
518,Optimising the Use of Nearshore Fish Aggregating Devices for Food Security in the Pacific Islands,"Elsevier, Marine Policy",,2015,,,Pacific Ocean,Pacific Islands,,,,,,
519,Solomon Islands Country Report,Conservation and Community Investment Forum,,2013,,,Pacific Ocean,Solomon Islands,,,,,,
520,Papau New Guinea Country Report,Conservation and Community Investment Forum,,2013,,Papua New Guinea,Pacific Ocean,,,,,,,
521,Australia Creates World's Largest System of Marine Parks,"Pew Environment Group, Australian Conservation Foundation, Australian Marine Conservation Society, Project AWARE Foundation",,2012,,Australia,Pacific Ocean,,,,,,,
522,"Fortalecimiento del control de la pesca ilegal, no declarada y no reglamentada (INDNR) en el Pacífico Tropical Oriental",Marviva,,,,Eastern Tropical Pacific,Pacific Ocean,,,,,,,
523,Aguas libres de basura en Costa Rica y Panamá,Marviva,,,,Costa Rica and Panama,Pacific Ocean,,,,,,,
524,"Mejorar la investigación, políticas e incidencia en Costa Rica, Panamá y Colombia para desincentivar el fraude con productos pesqueros y el comercio internacional ilegal de productos de especies de tiburón en peligro",Marviva,,,,"Costa Rica, Panama, Colombia",Pacific Ocean,,,,,,,
